dateTime,artist,song
7/16/2021 21:13:00,Stevie Nicks,Edge of Seventeen
7/16/2021 14:45:00,Home,Resonance
7/16/2021 14:42:00,Fitz and the Tantrums,Out of My League
7/16/2021 14:38:00,Jontha Links,Duracell
7/16/2021 14:35:00,Mac DeMarco,My Kind of Woman
7/16/2021 14:31:00,SZA,Drew Barrymore
7/16/2021 14:28:00,Role Model,better the first time
7/16/2021 14:25:00,Labrinth,Forever
7/16/2021 14:21:00,Strawberry Guy,Without You
7/16/2021 14:17:00,SAFARIO,Pressure Love
7/16/2021 14:13:00,fun.,Why Am I the One
7/16/2021 14:10:00,Wallows,Treacherous Doctor - Live from Henson Studios
7/16/2021 14:05:00,Daniel Caesar,Japanese Denim
7/16/2021 14:01:00,Wallows,Drunk on Halloween
7/16/2021 13:59:00,Lowertown,New Song
7/16/2021 13:55:00,Noah and the Whale,5 Years Time
7/16/2021 13:52:00,alt-J,Left Hand Free
7/16/2021 13:50:00,Eyedress,Jealous
7/16/2021 13:46:00,Kaleo,All The Pretty Girls
7/16/2021 13:41:00,The Neighbourhood,The Beach
7/16/2021 13:38:00,alt-J,Breezeblocks
7/16/2021 13:32:00,Beach House,Space Song
7/16/2021 13:28:00,Cavetown,Talk To Me
7/16/2021 13:23:00,The Backseat Lovers,Kilby Girl
7/16/2021 13:17:00,Coin,Malibu 1992
7/15/2021 15:28:00,Labrinth,Forever
7/15/2021 15:24:00,Far Caspian,Questions
7/15/2021 15:22:00,Matt Maltese,Even If It's a Lie - Demo
7/15/2021 14:52:00,Lowertown,New Song
7/15/2021 14:41:00,Sarah Kinsley,The King
7/15/2021 14:38:00,Arctic Monkeys,Why'd You Only Call Me When You're High?
7/15/2021 14:35:00,Role Model,better the first time
7/15/2021 14:32:00,Surf Curse,Freaks
7/15/2021 14:24:00,SAFARIO,Pressure Love
7/15/2021 14:21:00,SZA,Drew Barrymore
7/15/2021 14:21:00,Lord Huron,Love Me Like You Used To
7/15/2021 14:17:00,Kaleo,All The Pretty Girls
7/15/2021 14:08:00,The Neighbourhood,The Beach
7/15/2021 14:06:00,Eyedress,Jealous
7/15/2021 14:01:00,Beach House,Space Song
7/15/2021 13:57:00,Far Caspian,Questions
7/15/2021 13:54:00,Matt Maltese,Even If It's a Lie - Demo
7/15/2021 13:51:00,Aidan Bissett,More Than Friends
7/15/2021 13:48:00,Daniel Caesar,Japanese Denim
7/15/2021 13:45:00,Coin,Crash My Car
7/15/2021 13:43:00,dad sports,dog cuddles
7/15/2021 13:39:00,jelani aryeh,Stella Brown
7/15/2021 13:35:00,Tame Impala,It Might Be Time
7/15/2021 13:32:00,Mac DeMarco,My Kind of Woman
7/15/2021 13:29:00,The Maccabees,Toothpaste Kisses
7/15/2021 13:26:00,Joy Again,Looking Out For You
7/14/2021 11:30:00,fun.,Why Am I the One
7/14/2021 11:26:00,Gym Class Heroes,Cupid's Chokehold / Breakfast in America
7/14/2021 11:23:00,alt-J,Left Hand Free
7/14/2021 11:19:00,Wallows,Drunk on Halloween
7/14/2021 11:18:00,Wallows,Underneath the Streetlights in the Winter Outside Your House
7/14/2021 11:15:00,Wallows,Remember When
7/14/2021 11:12:00,Arctic Monkeys,Why'd You Only Call Me When You're High?
7/14/2021 11:09:00,alt-J,Breezeblocks
7/14/2021 11:05:00,Tame Impala,It Might Be Time
7/14/2021 1:46:00,SAFARIO,Pressure Love
7/14/2021 1:39:00,I Monster,Daydream In Blue
7/14/2021 1:36:00,Sir Sly,Astronaut
7/14/2021 1:32:00,Sarah Kinsley,The King
7/14/2021 1:28:00,Rainbow Kitten Surprise,Cocaine Jesus
7/14/2021 1:25:00,Jontha Links,Duracell
7/14/2021 1:22:00,Mac DeMarco,My Kind of Woman
7/14/2021 1:19:00,Carwash,striptease
7/14/2021 1:17:00,Surf Curse,Freaks
7/14/2021 1:14:00,Wallows,Remember When
7/14/2021 1:11:00,Lowertown,New Song
7/14/2021 1:06:00,Beach House,Space Song
7/14/2021 1:03:00,Saint Motel,For Elise
7/14/2021 0:55:00,Geskle,So She Goes
7/14/2021 0:51:00,Wallows,Drunk on Halloween
7/14/2021 0:47:00,Daniel Caesar,Japanese Denim
7/14/2021 0:43:00,Fitz and the Tantrums,Out of My League
7/14/2021 0:40:00,Noah and the Whale,5 Years Time
7/10/2021 23:17:00,Daniel Caesar,Japanese Denim
7/10/2021 23:13:00,Ritchie Valens,La Bamba - Single Version
7/10/2021 23:11:00,Ritchie Valens,We Belong Together
7/5/2021 14:10:00,Labrinth,Mount Everest
7/5/2021 3:58:00,Fitz and the Tantrums,Out of My League
7/5/2021 3:49:00,Kaleo,All The Pretty Girls
7/4/2021 3:40:00,Willie Nelson,Texas In My Soul
7/4/2021 3:37:00,Harry Belafonte,Day-O (Banana Boat Song)
7/3/2021 16:15:00,alt-J,Arrival in Nara
7/3/2021 16:11:00,The Japanese House,Saw You in a Dream
7/3/2021 16:08:00,The xx,Crystalised
7/3/2021 16:05:00,Supergrass,Alright
7/3/2021 16:05:00,Frankie Cosmos,On the Lips
7/3/2021 16:03:00,Frankie Cosmos,On the Lips
7/3/2021 15:59:00,Easy Life,Nightmares
7/3/2021 15:55:00,Lewis Del Mar,Live That Long
